"Comunidad","Provincia","Población","Latitud","Longitud","Habitantes","Hombres","Mujeres","Altitud","Annual_Mean_Temperature","Mean_Diurnal_Range","Isothermality","Temperature_Seasonality","Max_Temperature_of_Warmest_Month","Min_Temperature_of_Coldest_Month","Temperature_Annual_Range","Mean_Temperature_of_Wettest_Quarter","Mean_Temperature_of_Driest_Quarter","Mean_Temperature_of_Warmest_Quarter","Mean_Temperature_of_Coldest_Quarter","Annual_Precipitation","Precipitation_of_Wettest_Month","Precipitation_of_Driest_Month","Precipitation_Seasonality","Precipitation_of_Wettest_Quarter","Precipitation_of_Driest_Quarter","Precipitation_of_Warmest_Quarter","Precipitation_of_Coldest_Quarter"
"Andalucía","Almería","Cóbdar",37.26199,-2.210223,188,99,89,606.9962,211,122,73,1304,300,133,167,215,194,226,191,646,144,1,83,276,10,257,16
"Andalucía","Almería","Cuevas del Almanzora",37.29709,-1.881476,13025,6819,6206,97.29103,197,125,74,1302,285,117,168,207,180,211,177,780,176,3,88,351,15,329,20
"Andalucía","Almería","Dalías",36.82121,-2.870697,3958,1957,2001,415.9644,208,117,70,1447,299,134,165,215,189,224,187,610,151,3,84,306,14,190,17
"Andalucía","Almería","Ejido (El)",36.77506,-2.812738,84227,47263,36964,80,207,116,70,1426,296,132,164,213,188,222,185,594,143,2,84,291,11,194,13
"Andalucía","Almería","Enix",36.87704,-2.602107,484,271,213,720.6339,211,119,71,1424,301,135,166,218,193,226,190,597,139,2,82,287,10,194,13
"Andalucía","Almería","Felix",36.86892,-2.657921,654,349,305,822.4271,211,119,71,1424,301,135,166,218,193,226,190,597,139,2,82,287,10,194,13
"Andalucía","Almería","Fiñana",37.17101,-2.840678,2424,1217,1207,950.4163,165,109,68,1434,248,90,158,174,146,181,144,931,184,5,82,393,20,278,23
"Andalucía","Almería","Fines",37.35888,-2.262964,2378,1259,1119,448.7018,212,122,73,1324,300,134,166,216,194,226,191,669,153,1,85,295,10,264,15
"Andalucía","Almería","Fondón",36.97942,-2.858356,991,505,486,858.4697,208,117,70,1490,299,134,165,215,188,224,186,637,153,5,79,314,19,184,25
"Andalucía","Almería","Gádor",36.95393,-2.492936,3244,1700,1544,169.0004,210,119,72,1356,298,133,165,217,192,224,189,592,131,1,81,274,8,191,11
"Andalucía","Almería","Gallardos (Los)",37.16948,-1.940099,3752,1940,1812,113.9905,202,123,73,1278,290,122,168,211,185,216,182,650,148,2,86,300,10,286,15
"Andalucía","Almería","Garrucha",37.17925,-1.821901,8626,4496,4130,2.56615,187,123,72,1287,275,106,169,196,170,201,167,662,158,3,87,311,14,281,18
"Andalucía","Almería","Gérgal",3.71207,-2.538305,1107,573,534,750.5009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andalucía","Almería","Huécija",36.96788,-2.611436,539,267,272,410.0447,212,119,71,1408,302,136,166,219,194,227,191,605,140,2,81,289,11,190,15
"Andalucía","Almería","Huércal-Overa",37.39063,-1.943684,17645,8800,8845,284.6117,208,126,74,1282,297,128,169,213,192,222,189,794,186,2,89,340,12,323,17
"Andalucía","Almería","Huércal de Almería",36.88415,-2.435978,14937,7623,7314,72.52909,211,119,72,1351,299,134,165,218,193,225,190,594,136,1,82,283,8,196,11
"Andalucía","Almería","Illar",36.98504,-2.639302,436,232,204,428.1185,212,119,71,1408,302,136,166,219,194,227,191,605,140,2,81,289,11,190,15
"Andalucía","Almería","Instinción",36.99316,-2.659945,493,233,260,434.57,212,119,71,1408,302,136,166,219,194,227,191,605,140,2,81,289,11,190,15
"Andalucía","Almería","Laroya",37.29667,-2.329601,149,83,66,854.0873,213,122,73,1345,302,135,167,218,195,228,192,636,136,1,82,270,10,258,15
"Andalucía","Almería","Láujar de Andarax",36.99384,-2.88922,1796,890,906,910.9894,208,117,70,1490,299,134,165,215,188,224,186,637,153,5,79,314,19,184,25
"Andalucía","Almería","Líjar",37.29527,-2.219928,507,270,237,593.4965,211,122,73,1304,300,133,167,215,194,226,191,646,144,1,83,276,10,257,16
"Andalucía","Almería","Lubrín",37.21585,-2.067055,1751,866,885,521.5203,204,123,73,1296,292,125,167,214,188,218,184,637,133,2,83,280,10,270,16
